Alt Name,Standardized Name
"Fredrik W. Reckling, Sr","Fredrik W. Reckling, Sr."
Gary A. DeVries,Gary DeVries
Gary L. Leatherberry,Gary Leatherberry
George E. Ferriter,George Ferriter
Glen I. Fischer,Glen Fischer
Gordon N. Carncross,Gordon Carncross
Ian T. Gray,Ian Gray
Jack A. Jensen,Jack Jensen
Jaime K. Woreck,Jaime Woreck
James D. Zamzow,James Zamzow
James E. Foley,James Foley
James F. Laatsch,James Laatsch
James H. Nelson,James Nelson
James H. Price,James Price
James L. Bechen,James Bechen
James T. Olrick,James Thomas Olrick
Jerry L. Ritchie,Jerry Ritchie
Jesse R. DeFosse,Jesse DeFosse
Jesse R. Defosse,Jesse DeFosse
Jill R. Hahn,Jill Hahn
Jim Boomsma,James Boomsma
Jim Isaacson,James Isaacson
Joann Wingers,JoAnn Wingers
Joanne F. Kloppenburg,JoAnne F. Kloppenburg
John A. Heil,John Heil
John A. Stevenson,John Stevenson
John F. Exo,John Exo
John F. Ninmann,John Ninmann
John G. Stevenson,John Stevenson
John H. Campbell,John Campbell
John H. Pickle Jr,"John H. Pickle, Jr."
John M. Casey,John Casey
John R. Pearson,John Pearson
Judainne Stronach-J.J.,Judainne J.J. Stronach
Julie M. Kayartz,Julie Kayartz
Justin R. Nickel,Justin Nickel
Kathy A. Anderson,Kathy Anderson
Ken Ireland,Kenneth Ireland
Kenneth W. Hutler,Kenneth Hutler
Kevin O'hara,Kevin O'Hara
Kim R. Bauer,Kim Bauer
Kristine M. Conway,Kristine Conway
Lee K. Vaughan,Lee Vaughan
Linda J. Leonhart,Linda Leonhart
Lisa A. Delmore,Lisa Delmore
Lori A. Toutant,Lori Toutant
Marcia A. Vangen,Marcia Vangen
Marie E. Vossekuil,Marie Vossekuil
Mark F. Witt,Mark Witt
Mark L. Sleger,Mark Sleger
Marty Havlovic,Martin Havlovic
Mathew E. Brunn,Mathew Brunn
Matt Zeman,Matthew Zeman
Matthew A. Zeman,Matthew Zeman
Melissa Winker (DEM),Melissa Winker
Michael J. Haynes,Michael Haynes
Mike Freel,Michael Freel
Nathan R. Anfinson,Nathan Anfinson
Pamela E. Puntney,Pamela Puntney
Parkis R. Waterbury,Parkis Waterbury
Parkis Robert Waterbury,Parkis Waterbury
Patty Jacobson,Patricia Jacobson
Paul A. Becker,Paul Becker
"Paul Chapa, Sr","Paul Chapa, Sr."
Paul I. Crary,Paul Crary
Peggy M. Tomlinson,Peggy Tomlinson
Peter E. Tonn,Peter Tonn
Philip J. Sommers,Philip Sommers
Rebecca K. Sersch,Rebecca Sersch
Renee A. Wendt,Renee Wendt
Rich Judge,Richard Judge
Richard C. Boockmeier,Richard Boockmeier
Robert A. Hagenow,Robert Hagenow
Robert Bob Loeffler,Robert Loeffler
Robert C. McClyman,Robert McClyman
Robert C. Mcclyman,Robert McClyman
Robert E. Abrath,Robert Abrath
Robert J. Loeffler,Robert Loeffler
Robert McClyman,Robert McClyman
Rod Melotte,Rodney Melotte
Rodney D. Kok,Rodney Kok
Ron Alsum,Ronald Alsum
Russell W. Sunde,Russell Sunde
Sally S. Stewart,Sally Stewart
Scott R. Earnest,Scott Earnest
Sebastian P. Mion,Sebastian Mion
Stephen J. Pate,Steven Pate
Steve Pate,Steven Pate
Steve Schroeder,Steven Schroeder
Steven E. Davidson,Steve Davidson
Steven L. Sprecher,Steven Sprecher
Steven R. Jacob,Steven Jacob
Steven T. Williams,Steven Williams
Stuart A. Benzine,Stuart Benzine
Susanna R. Bradley,Susanna Bradley
Teresa A. Sumnicht,Teresa Ann Sumnicht
Terri L. Fiore,Terri Fiore
Terry L. Marshall,Terry Marshall
Terry L. Stokes,Terry Lee Stokes
Tim Heilman,Timothy Heilman
Tim Rittmeyer,Timothy Rittmeyer
Timothy C. Ashley,Timothy Ashley
Timothy J. Rittmeyer,Timothy Rittmeyer
Tom Klahn,Thomas Klahn
Tom Manke,Thomas Manke
"Tom Nakielski, Jr","Tom Nakielski, Jr."
Tricia VandenLangenberg,Tricia Vandenlangenberg
Trina L. Reid,Trina Reid
Wade L. Smith,Wade Smith
Warren G. Koenig,Warren Koenig
Wendy S. Corlett,Wendy Corlett
William G. Devine,William Devine
William Schroeder Sr,"William Schroeder, Sr."
School District of Baraboo,Baraboo School District
Cambria-friesland School District,Cambria-Friesland School District
Deforest Area School District,DeForest Area School District
School District of Lodi,Lodi School District
School District of Poynette,Poynette School District
School District of Wisconsin Dells,Wisconsin Dells School District
Town of Fountain Prairi,Town of Fountain Prairie
Alderperson City of Lodi,Alderperson
Town Board Supervisor I,Town Board Supervisor 1
Town Board Supervisor Ii,Town Board Supervisor 2
Town Board Supervisor Iii,Town Board Supervisor 3
Town Board Supervisor Iv,Town Board Supervisor 4
